Description,Month,Arrivals
Arrivals of non-residents,2025-08-01,650108
Total arrivals,2025-09-01,529619
Arrivals of residents,2025-09-01,124608
Arrivals of non-residents,2025-09-01,405011
Total arrivals,2025-10-01,304047
Arrivals of residents,2025-10-01,75844
Arrivals of non-residents,2025-10-01,228203
Total arrivals,2025-11-01,190239
Arrivals of residents,2025-11-01,63393
Arrivals of non-residents,2025-11-01,126846
Total arrivals,2025-12-01,173194
Arrivals of residents,2025-12-01,65817
Arrivals of non-residents,2025-12-01,107377
Total arrivals,2026-01-01,142924
Arrivals of residents,2026-01-01,63279
Arrivals of non-residents,2026-01-01,79645
Total arrivals,2026-02-01,135986
Arrivals of residents,2026-02-01,54132
Arrivals of non-residents,2026-02-01,81854
Total arrivals,2026-03-01,171068
Arrivals of residents,2026-03-01,62677
Arrivals of non-residents,2026-03-01,108391
Total arrivals,2026-04-01,255742
Arrivals of residents,2026-04-01,72288
Arrivals of non-residents,2026-04-01,183454
Total arrivals,2026-05-01,361401
Arrivals of residents,2026-05-01,86434
Arrivals of non-residents,2026-05-01,274967
Total arrivals,2026-06-01,586608
Arrivals of residents,2026-06-01,140762
Arrivals of non-residents,2026-06-01,445846
