Description,Month,Nights_Spent
Nights spent  of non-residents,2025-07-01,1361672
Total nights spent,2025-08-01,2263355
Nights spent of residents,2025-08-01,571802
Nights spent  of non-residents,2025-08-01,1691553
Total nights spent,2025-09-01,1189483
Nights spent of residents,2025-09-01,284801
Nights spent  of non-residents,2025-09-01,904682
Total nights spent,2025-10-01,573215
Nights spent of residents,2025-10-01,140327
Nights spent  of non-residents,2025-10-01,432888
Total nights spent,2025-11-01,404055
Nights spent of residents,2025-11-01,107038
Nights spent  of non-residents,2025-11-01,297017
Total nights spent,2025-12-01,303555
Nights spent of residents,2025-12-01,112349
Nights spent  of non-residents,2025-12-01,191206
Total nights spent,2026-01-01,254775
Nights spent of residents,2026-01-01,106616
Nights spent  of non-residents,2026-01-01,148159
Total nights spent,2026-02-01,248713
Nights spent of residents,2026-02-01,91121
Nights spent  of non-residents,2026-02-01,157592
Total nights spent,2026-03-01,331478
Nights spent of residents,2026-03-01,111044
Nights spent  of non-residents,2026-03-01,220434
Total nights spent,2026-04-01,501839
Nights spent of residents,2026-04-01,138819
Nights spent  of non-residents,2026-04-01,363020
Total nights spent,2026-05-01,725112
Nights spent of residents,2026-05-01,160831
Nights spent  of non-residents,2026-05-01,564281
Total nights spent,2026-06-01,1319136
Nights spent of residents,2026-06-01,318242
Nights spent  of non-residents,2026-06-01,1000894
